condition,grade,recall
teacher,0,0.9320754716981132
teacher,1,0.0
teacher,2,0.2602739726027397
teacher,3,0.36231884057971014
teacher,4,0.75
macula_only,0,0.7086792452830188
macula_only,1,0.10400000000000001
macula_only,2,0.2397260273972603
macula_only,3,0.3043478260869565
macula_only,4,0.4
disc_only,0,0.7237735849056603
disc_only,1,0.068
disc_only,2,0.29452054794520544
disc_only,3,0.24057971014492754
disc_only,4,0.47000000000000003
dual_no_distill,0,0.7267924528301887
dual_no_distill,1,0.08399999999999999
dual_no_distill,2,0.22328767123287668
dual_no_distill,3,0.31304347826086953
dual_no_distill,4,0.63
dual_logitkd,0,0.7833962264150943
dual_logitkd,1,0.08
dual_logitkd,2,0.1958904109589041
dual_logitkd,3,0.3913043478260869
dual_logitkd,4,0.5599999999999999
dual_featkd,0,0.8075471698113208
dual_featkd,1,0.08
dual_featkd,2,0.18630136986301368
dual_featkd,3,0.34202898550724636
dual_featkd,4,0.58
dual_csd,0,0.8030188679245283
dual_csd,1,0.068
dual_csd,2,0.1917808219178082
dual_csd,3,0.30434782608695654
dual_csd,4,0.58
